,node_id,alertname,dc_id,dc_name,guestos_tee_active,guestos_version,ip_address,ipv4_connectivity_status,node_hardware_generation,node_operator_id,node_provider_id,node_provider_name,node_type,owner,region,status,subnet_id
1185,u6e7b-mgtes-r5nay-mmrcn-p3rns-hj2fn-74dn7-cp2mu-kk24k-ljfnm-2ae,,lj2,Ljubljana 2,False,199fb796c4a81ac43c6886d21bfa2b66ee3a8cd6,2a03:a100:0:204:6801:46ff:fea5:e99a,False,Gen2,eu5wc-g7r7l-zzy2o-227af-hfvin-orflw-4vdlf-j7gks-n5wrj-zezt7-tqe,kos24-5xact-6aror-uofg2-tnvt6-dq3bk-c2c5z-jtptt-jbqvc-lmegy-qae,Anonstake,REPLICA,Anonstake,"Europe,SI,Ljubljana",UP,
1186,u6j47-wepye-qtjf3-vkvnv-q6nfc-a3wky-grxp6-wbjuy-xejgs-qalg4-4ae,,sh1,Stockholm 1,False,199fb796c4a81ac43c6886d21bfa2b66ee3a8cd6,2001:4c08:2003:b09:6801:16ff:fe49:afad,False,Gen1,lgp6d-brhlv-35izu-khc6p-rfszo-zdwng-xbtkh-xyvjg-y3due-7ha7t-uae,bvcsg-3od6r-jnydw-eysln-aql7w-td5zn-ay5m6-sibd2-jzojt-anwag-mqe,DFINITY Stiftung,REPLICA,Digital Realty,"Europe,SE,Stockholm",UP,
1188,u7xea-i2nf7-uyfwo-r756v-dazwi-g3no5-aaylx-6dwmb-6jtm7-ezg75-3ae,,jb3,Gauteng 3,False,199fb796c4a81ac43c6886d21bfa2b66ee3a8cd6,2c0f:e9f0:9804:b:6801:9dff:fe7e:b8e6,False,Gen2,ymenq-4sr5h-3imm6-kjjw6-2knuy-ntmlu-oqf5k-vdnzv-z427q-gqdot-sae,mme7u-zxs3z-jq3un-fbaly-nllcz-toct2-l2kp3-larrb-gti4r-u2bmo-dae,Wolkboer (Pty) Ltd,REPLICA,Xneelo,"Africa,ZA,Gauteng",UP,
1189,uafcv-c76tx-jzddu-wxygw-4yzkm-nyr7u-iwk57-bwind-wmupb-2wos6-4qe,,sh1,Stockholm 1,,44e6a4830a03f05101a33d7baeb1f92c5c8093bc,2001:4c08:2003:b09:6801:59ff:febd:d67a,False,Gen1,lgp6d-brhlv-35izu-khc6p-rfszo-zdwng-xbtkh-xyvjg-y3due-7ha7t-uae,bvcsg-3od6r-jnydw-eysln-aql7w-td5zn-ay5m6-sibd2-jzojt-anwag-mqe,DFINITY Stiftung,REPLICA,Digital Realty,"Europe,SE,Stockholm",UP,
1192,uajv3-ocqku-n5d2z-kbw3g-mqsir-er7gs-mhsdg-27f6d-xbfjl-uugdr-cae,,sc1,Queensland 1,False,199fb796c4a81ac43c6886d21bfa2b66ee3a8cd6,2001:df2:f540:2:6801:a4ff:fea3:c801,False,Gen2,6jel7-zolww-jy5ha-bwkva-fv5dx-nkolq-scb63-azu3w-ne3rr-ite7s-sae,fwnmn-zn7yt-5jaia-fkxlr-dzwyu-keguq-npfxq-mc72w-exeae-n5thj-oae,ANYPOINT PTY LTD,REPLICA,NEXTDC,"Oceania,AU,Queensland",UP,
1201,uf3xb-i4fzz-jtgv6-a5pga-i5cs7-ex4ck-d46lp-khsjr-3yzdy-xnjrc-xqe,,kr1,Seoul 3,,44e6a4830a03f05101a33d7baeb1f92c5c8093bc,2a0c:b641:b21:1b:6801:d1ff:fe84:738,False,Gen2,iubpe-vrzpt-cdf5f-kkzhq-rgp63-dkbfo-fje7f-6aknf-jekzg-3s7tv-oae,r3yjn-kthmg-pfgmb-2fngg-5c7d7-t6kqg-wi37r-j7gy6-iee64-kjdja-jae,Pindar Technology Limited,REPLICA,KT,"Asia,KR,Seoul",DOWN,
1204,uj5bp-c66bz-meslf-u4uts-q3njs-tgfnr-bueq6-372lq-yz7so-4fu27-3qe,,hk1,HongKong 1,False,199fb796c4a81ac43c6886d21bfa2b66ee3a8cd6,2401:8a00:f:1:6801:9bff:fe6f:2d46,False,Gen2,vzsx4-ldpic-3zcoa-mfki2-gfsai-ok7ap-gb2sp-fxvaf-ckd7h-jluem-qqe,r3yjn-kthmg-pfgmb-2fngg-5c7d7-t6kqg-wi37r-j7gy6-iee64-kjdja-jae,Pindar Technology Limited,REPLICA,Unicom,"Asia,HK,HongKong",UP,
1205,ujfvd-clqdd-votkf-fdmw3-uctyn-66xxn-a4coi-yqfcr-ws4md-monk4-dqe,,hk1,HongKong 1,False,199fb796c4a81ac43c6886d21bfa2b66ee3a8cd6,2404:82c0:1:0:6801:8dff:fe54:50ae,False,Gen2,z6cfb-dbya3-nh4pm-nyteq-76n7d-xzi27-tf3cg-t7sz7-244qt-6rnjy-3ae,g2ax6-jrkmb-3zuh3-jibtb-q5xoq-njrgo-5utbc-j2o7g-zfq2w-yyhky-dqe,Wancloud limited,UNASSIGNED,Unicom,"Asia,HK,HongKong",UP,
1209,ulcre-xbhsb-in5ny-xqhwy-nolvb-xzw22-fcp65-jutld-c2pjz-y7ydr-gqe,,jb2,Gauteng 2,False,199fb796c4a81ac43c6886d21bfa2b66ee3a8cd6,2c0f:e9f0:9804:9:6801:87ff:fec7:a996,False,Gen2,bm2lc-ec4xa-briqh-l3acc-wvxfw-u2mn2-3njpp-53rqa-5guxt-hyhce-7ae,unqqg-no4b2-vbyad-ytik2-t3vly-3e57q-aje2t-sjb5l-bd4ke-chggn-uqe,Karel Frank,REPLICA,Africa Data Centres,"Africa,ZA,Gauteng",UP,
1212,um4so-2axl2-74745-lhyhn-afhgh-yog7e-pcsso-mxxho-7x5ev-x65uz-eqe,,vl2,Vilnius 2,False,199fb796c4a81ac43c6886d21bfa2b66ee3a8cd6,2a14:5400::6801:11ff:fee5:226d,False,Gen2,inluf-zswst-3owy3-xklsg-jnn6r-izoj7-pf3il-fo33d-ghbka-lc34p-zqe,vegae-c4chr-aetfj-7gzuh-c23sx-u2paz-vmvbn-bcage-pu7lu-mptnn-eqe,George Bassadone,REPLICA,Data Inn,"Europe,LT,Vilnius",UP,
